CustomID	Label	URL	ID
109	КАДРОВЫЙ РЕЗЕРВ РЕСПУБЛИКИ АДЫГЕЯ	https://www.facebook.com/groups/224685167654168/	224685167654168
110	БАЛКАРИЯ. (Диалог,общение,информация.)	https://www.facebook.com/groups/658602554276627/	658602554276627
113	Реальный Кавказ (Real Caucas)	https://www.facebook.com/groups/897088426991920/	897088426991920
114	ВМЕСТЕ МЫ - СИЛА ...	https://www.facebook.com/groups/452440834893332/	452440834893332
115	АДЫГАГЪЭ	https://www.facebook.com/groups/419106591561143/	419106591561143
118	Altair - Альтаир	https://www.facebook.com/groups/280197705483143/	280197705483143
122	Адыгэ Нэщэнэхэр	https://www.facebook.com/groups/615246895208009/	615246895208009
125	Черкесский Культурный Центр ????????? ???????? ??????	https://www.facebook.com/groups/252586688159677/	252586688159677
126	Газета "Республика Абхазия"	https://www.facebook.com/groups/1233166150032241/	1233166150032241
129	REWORLD НАЛЬЧИК	https://www.facebook.com/groups/1004697609552562/	1004697609552562
130	КЪАРАЧАЙ-МАЛКЪАРЛЫЛА / KARACAY-MALKARLILA	https://www.facebook.com/groups/241840892564886/	241840892564886
131	АХМАТЛАНЫ ЛЮБАНЫ НАЗМУЛАРЫ ??????	https://www.facebook.com/groups/171120869905707/	171120869905707
133	Юристы Карачаево-Черкесии	https://www.facebook.com/groups/1535486643333761/	1535486643333761
134	Я ЗА ОБЪЕДИНЕНИЕ КАВКАЗА!	https://www.facebook.com/groups/115281938672403/	115281938672403
135	АБАЗА в Кабардино-Балкарии	https://www.facebook.com/groups/336062733432820/	336062733432820
136	Сабий усэ	https://www.facebook.com/groups/451395565006887/	451395565006887
137	Убыхия-Шахе-Шапсугия	https://www.facebook.com/groups/487586734728906/	487586734728906
138	СОХРАНИМ НАСЛЕДИЕ ПРЕДКОВ	https://www.facebook.com/groups/624005821062263/	624005821062263
139	Понять Кавказ. Факты, анализ, прогнозы.	https://www.facebook.com/groups/418134964913502/	418134964913502
140	Земля Кавказцев / Land of Caucasians	https://www.facebook.com/groups/319905221744138/	319905221744138
141	Кладезь Кавказа	https://www.facebook.com/groups/978444195502322/	978444195502322
142	Тюрки России	https://www.facebook.com/groups/366730206729533/	366730206729533
145	ADIGAGE АДЫГАГЪЭ	https://www.facebook.com/groups/248382488560998/	248382488560998
146	Радио Барс Эль	https://www.facebook.com/groups/757792544276437/	757792544276437
148	По Кавказский	https://www.facebook.com/groups/361727147236296/	361727147236296
149	ANSAR	https://www.facebook.com/groups/101320043347006/	101320043347006
150	TURKIYE ABHAZYA'YI TANISIN!/TURKEY! RECOGNIZE REPUBLIC OF ABKHAZIA!	https://www.facebook.com/groups/177977638946626/	177977638946626
154	НАЦИОНАЛЬНЫЙ АНТИКОРРУПЦИОННЫЙ КОМИТЕТ	https://www.facebook.com/groups/309027855957928/	309027855957928
156	грузино-черкесская дружба ??????-????????? ????? Адыгэ-Хъырцэ зэкъуэшыныгъэ	https://www.facebook.com/groups/199308693442571/	199308693442571
158	МОО "Адгылара"	https://www.facebook.com/groups/521170491283684/	521170491283684
159	Тюркоязычная Молодежь Москвы	https://www.facebook.com/groups/766453836782913/	766453836782913
161	KUZEY KAFKASYALILAR KIZILAY KAN BANKASI	https://www.facebook.com/groups/485335475289/	485335475289
163	KAFDAGLILAR	https://www.facebook.com/groups/266409937054100/	266409937054100
165	АПСУРА - адин, ацас, алеишэа! APSURA - adin, acas, aleisha!	https://www.facebook.com/groups/235030956611286/	235030956611286
166	Наш Дом-Абхазия!	https://www.facebook.com/groups/1146438215368013/	1146438215368013
167	Благотворительный Фонд "Чистые сердца" (КБР)	https://www.facebook.com/groups/528483467175374/	528483467175374
169	Портал Новое Ставрополье	https://www.facebook.com/groups/323617141005949/	323617141005949
170	Политическая партия "Родина" КЧР	https://www.facebook.com/groups/1738598483079736/	1738598483079736
172	АГ??А (Центр)	https://www.facebook.com/groups/1537737939793791/	1537737939793791
173	RUSSIA - KAVKAZ!	https://www.facebook.com/groups/934612473264174/	934612473264174
174	Театр Эстрады	https://www.facebook.com/groups/316009531898502/	316009531898502
175	Karachaihorse.ru-карачаевские лошади и не только	https://www.facebook.com/groups/667048466720272/	667048466720272
176	1КБР	https://www.facebook.com/groups/425159027531064/	425159027531064
177	Мы Вместе	https://www.facebook.com/groups/168145366651864/	168145366651864
179	КАВКАЗ	https://www.facebook.com/groups/541831229313784/	541831229313784
180	НОВОСТНОЙ ПОРТАЛ РОССИИ SKNEWS.RU	https://www.facebook.com/groups/1579866635596187/	1579866635596187
181	Моя Адыгея	https://www.facebook.com/groups/1429386800701882/	1429386800701882
183	Kavkazpress.ru	https://www.facebook.com/groups/286579614811252/	286579614811252
184	Тызылъэпкъ тыбзи зы. Дызылъэпкъщ ди бзэри зыщ	https://www.facebook.com/groups/1008281249198404/	1008281249198404
